#,Full Name,FullTeamName,Team,Pos.,Ht.,Year,Hometown,Previous School,ImageURL,clean_name,ADP
24,Sydnie Rodriguez,Seattle U Redhawks,seattle,G,6-0,Sophomore,"Boise, ID",Owhyee HS,https://goseattleu.com/imgproxy/coiLDNnfD4ptGSHU6KNsQGAz0cK2mGzljSZiA1gw3wc/rs:fit:1980:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL2dvc2VhdHRsZXUtY29tLXByb2QvMjAyNS8xMC8wOS85RENVaGt6T2NWaUlaMWMySEJLck1YeTM4a1Q4aWN3RnhJRHBzQzlzLnBuZw.png,sydnie rodriguez,82
0,Tiara Bolden,Oregon State Beavers,osu,G,5-11,Gr.,"Eugene, OR",,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Foregonstate.sidearmsports.com%2Fimages%2F2024%2F10%2F2%2FWBB_Headshot-9.jpg&width=603&height=803&gravity=north&type=webp,tiara bolden,79
1,Kennedie Shuler,Oregon State Beavers,osu,G,5-10,Jr.,"Gresham, OR",,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Foregonstate.sidearmsports.com%2Fimages%2F2024%2F10%2F2%2FWBB_Headshot-2.jpg&width=603&height=803&gravity=north&type=webp,kennedie shuler,108
2,Katelyn Field,Oregon State Beavers,osu,G,5-11,Fr.,"Melbourne, Australia",,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Foregonstate.sidearmsports.com%2Fimages%2F2025%2F5%2F12%2FKF_Headshot.jpg&width=603&height=803&gravity=north&type=webp,katelyn field,66
3,Jenna Villa,Oregon State Beavers,osu,G,6-1,Jr.,"Arlington, WA",,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Foregonstate.sidearmsports.com%2Fimages%2F2025%2F5%2F12%2F25WBB_Recruit_Jenna_Villa_0009.jpg&width=603&height=803&gravity=north&type=webp,jenna villa,118
4,Ally Schimel,Oregon State Beavers,osu,G,5-10,So.,"Corbett, OR",,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Foregonstate.sidearmsports.com%2Fimages%2F2024%2F10%2F2%2FWBB_Headshot-6.jpg&width=603&height=803&gravity=north&type=webp,ally schimel,104
7,Lucia Navarro,Oregon State Beavers,osu,G,6-0,Jr.,"Valencia, Spain",,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Foregonstate.sidearmsports.com%2Fimages%2F2024%2F10%2F2%2FWBB_Headshot-12.jpg&width=603&height=803&gravity=north&type=webp,lucia navarro,22
10,Susana Yepes,Oregon State Beavers,osu,F,6-0,R-Sr.,"Medellin, Colombia",,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Foregonstate.sidearmsports.com%2Fimages%2F2024%2F10%2F2%2FWBB_Headshot-11.jpg&width=603&height=803&gravity=north&type=webp,susana yepes,38
12,Mackenzie Shivers,Oregon State Beavers,osu,G,5-6,R-Jr.,"Mesa, AZ",,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Foregonstate.sidearmsports.com%2Fimages%2F2024%2F10%2F2%2FWBB_Headshot-8.jpg&width=603&height=803&gravity=north&type=webp,mackenzie shivers,95
15,Lizzy Williamson,Oregon State Beavers,osu,F,6-5,Gr.,"Adelaide, Australia",,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Foregonstate.sidearmsports.com%2Fimages%2F2025%2F5%2F16%2F25WBB_Recruit_Lizzy_Williamson_0037.jpg&width=603&height=803&gravity=north&type=webp,lizzy williamson,143
16,Elisa Mehyar,Oregon State Beavers,osu,F,6-5,So.,"Copenhagen, Denmark",,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Foregonstate.sidearmsports.com%2Fimages%2F2024%2F10%2F2%2FWBB_Headshot-10.jpg&width=603&height=803&gravity=north&type=webp,elisa mehyar,49
22,Lara Alonso-Basurto,,,F,6-3,Fr.,"Madrid, Spain",,osu,lara alonso-basurto,111
25,Keira Lindemans,Oregon State Beavers,osu,G,6-0,Fr.,"Melbourne, Australia",,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Foregonstate.sidearmsports.com%2Fimages%2F2025%2F5%2F12%2FKL_Headshot.jpg&width=603&height=803&gravity=north&type=webp,keira lindemans,151
30,Catarina Ferreira,Oregon State Beavers,osu,G,6-0,Gr.,"Sao Paulo, Brazil",,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Foregonstate.sidearmsports.com%2Fimages%2F2024%2F10%2F2%2FWBB_Headshot-7.jpg&width=603&height=803&gravity=north&type=webp,catarina ferreira,7
31,Cloe Vecina,Oregon State Beavers,osu,G,5-8,So.,"Vigo, Spain",,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Foregonstate.sidearmsports.com%2Fimages%2F2024%2F10%2F2%2FWBB_Headshot-5.jpg&width=603&height=803&gravity=north&type=webp,cloe vecina,82
32,Néné Sow,Oregon State Beavers,osu,C,6-8,R-Sr.,"Brussels, Belgium",,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Foregonstate.sidearmsports.com%2Fimages%2F2025%2F5%2F12%2F25WBB_Recruit_Ne_ne__Sow_0060.jpg&width=603&height=803&gravity=north&type=webp,nene sow,113
0,Ivory Finley,Pepperdine Waves,pepperdine,G,5-10,Gr.,"Minneapolis, MN",Utah State,https://daitadul56i2n.cloudfront.net/images/2025/9/26/0_ivory.jpg?width=80&quality=90,ivory finley,123
1,Taija Sta. Maria,Pepperdine Waves,pepperdine,G,5-6,Jr.,"Toronto, Ontario, Canada",Fresno State,https://daitadul56i2n.cloudfront.net/images/2025/9/26/1_taija.jpg?width=80&quality=90,taija sta. maria,25
2,Ellison Guiney,Pepperdine Waves,pepperdine,G,5-11,So.,"Goodyear, AZ",UNLV,https://daitadul56i2n.cloudfront.net/images/2025/9/26/2_guiney.jpg?width=80&quality=90,ellison guiney,81
3,Bella Green,Pepperdine Waves,pepperdine,G,6-0,Gr.,"Perth, Australia",University of West Florida,https://daitadul56i2n.cloudfront.net/images/2025/9/26/3_green.jpg?width=80&quality=90,bella green,40
10,Ilinca Belegante,Pepperdine Waves,pepperdine,G,6-0,Fr.,"Bucharest, Romania",,https://daitadul56i2n.cloudfront.net/images/2025/9/26/10_Ilinca.jpg?width=80&quality=90,ilinca belegante,29
