fullName,jerseyNum,height,position,classYr,teamMarketTo,conferenceShortNameTo,teamMarketFrom,conferenceShortNameFrom,mins,ptsScored,ast,reb,stl,blk,ptsScoredPg,astPg,rebPg,stlPg,blkPg
Hannah Robbins,8.0,72.0,G,Freshman,Weber St.,Big Sky,Montana St.,Big Sky,94.68,27.0,8.0,14.0,9.0,1.0,1.35,0.4,0.7,0.45,0.05
Natalie Picton,2.0,65.0,G,Sophomore,Sacramento St.,Big Sky,Montana St.,Big Sky,519.34,207.0,48.0,56.0,55.0,0.0,6.46875,1.5,1.75,1.71875,0.0
Lexi Deden,21.0,74.0,F,Senior,Colorado St.,MWC,Montana St.,Big Sky,220.2,90.0,14.0,49.0,19.0,9.0,4.09091,0.63636,2.22727,0.86364,0.40909
Aaliyah Duranham,22.0,69.0,F,Sophomore,Tuskegee,SIAC,Mississippi Val.,SWAC,307.36,94.0,7.0,79.0,26.0,2.0,3.24138,0.24138,2.72414,0.89655,0.06897
Izabella Zingaro,13.0,76.0,F,Junior,Cleveland St.,Horizon,Montana,Big Sky,427.9,214.0,15.0,86.0,9.0,10.0,7.64286,0.53571,3.07143,0.32143,0.35714
Kalise Hill,15.0,66.0,G,Freshman,UMES,MEAC,Morehead St.,OVC,315.12,71.0,23.0,18.0,14.0,0.0,2.95833,0.95833,0.75,0.58333,0.0
Kyrah Daniels,21.0,72.0,G,Sophomore,Wisconsin,Big Ten,Missouri St.,MVC,1033.26,420.0,80.0,179.0,37.0,32.0,12.0,2.28571,5.11429,1.05714,0.91429
Amiya Carroll,15.0,70.0,G,Sophomore,Delaware,CAA,Monmouth,CAA,20.54,2.0,0.0,5.0,2.0,1.0,0.18182,0.0,0.45455,0.18182,0.09091
Kate Novik,,,,,DePaul,Big East,Morehead St.,OVC,,,,,,,,,,,
Harley Paynter,4.0,68.0,G,Senior,La Salle,A10,Morehead St.,OVC,632.54,236.0,35.0,80.0,30.0,3.0,9.44,1.4,3.2,1.2,0.12
Aileen Marquez,13.0,68.0,G,Senior,UNC Asheville,Big South,Morehead St.,OVC,532.71,200.0,21.0,38.0,18.0,4.0,7.69231,0.80769,1.46154,0.69231,0.15385
Michelle Ugwah,10.0,73.0,F,Freshman,San Francisco,WCC,Morehead St.,OVC,516.83,145.0,4.0,117.0,20.0,17.0,7.25,0.2,5.85,1.0,0.85
Veronika Korchagina,,,,,Houston Christian,Southland,Morehead St.,OVC,,,,,,,,,,,
Alyse Holliman,0.0,72.0,F,Sophomore,Delta St.,Gulf South,Morehead St.,OVC,129.64,14.0,2.0,26.0,3.0,4.0,0.66667,0.09524,1.2381,0.14286,0.19048
Tamaria Rumph,0.0,64.0,G,Sophomore,Niagara,MAAC,Morgan St.,MEAC,496.26,132.0,51.0,53.0,36.0,2.0,5.5,2.125,2.20833,1.5,0.08333
Chrishawn Coleman,12.0,67.0,G,Freshman,CSU Bakersfield,Big West,Morehead St.,OVC,658.71,302.0,36.0,56.0,42.0,6.0,11.18519,1.33333,2.07407,1.55556,0.22222
Nia Green,5.0,72.0,G,Freshman,UNC Asheville,Big South,Morgan St.,MEAC,502.83,124.0,16.0,112.0,16.0,8.0,4.76923,0.61538,4.30769,0.61538,0.30769
Alyssa Berry,,,,,Purdue Fort Wayne,Horizon,Morehead St.,OVC,,,,,,,,,,,
Naya Ojukwu,,,,,California,ACC,Morgan St.,MEAC,,,,,,,,,,,
Tessa Engelman,,,,,Tarleton St.,WAC,Mount St. Mary's,MAAC,,,,,,,,,,,
Maia Rosarion,14.0,70.0,F,Freshman,Nevada,MWC,Morehead St.,OVC,437.25,155.0,8.0,146.0,23.0,20.0,5.96154,0.30769,5.61538,0.88462,0.76923
Amber Howard,,,,,Buffalo,MAC,N.C. A&T,CAA,,,,,,,,,,,
Kyla Bryant,5.0,67.0,G,Sophomore,Ga. Southern,Sun Belt,N.C. Central,MEAC,1021.68,362.0,95.0,129.0,27.0,2.0,12.92857,3.39286,4.60714,0.96429,0.07143
Madison Ruff,3.0,69.0,G,Freshman,Winthrop,Big South,Mount St. Mary's,MAAC,611.51,224.0,45.0,113.0,40.0,2.0,7.22581,1.45161,3.64516,1.29032,0.06452
Grace Billington,10.0,70.0,G,Freshman,UT Martin,OVC,Murray St.,MVC,46.85,24.0,1.0,12.0,2.0,0.0,1.71429,0.07143,0.85714,0.14286,0.0
Laila Lewis,22.0,70.0,F,Freshman,Fayetteville St.,CIAA,N.C. Central,MEAC,55.68,20.0,2.0,15.0,1.0,3.0,1.05263,0.10526,0.78947,0.05263,0.15789
Terriana Gray,13.0,68.0,G,Freshman,Francis Marion,Conference Carolinas,N.C. Central,MEAC,201.16,55.0,15.0,17.0,5.0,0.0,4.58333,1.25,1.41667,0.41667,0.0
Jada Tiggett,,,,,Saint Louis,A10,N.C. Central,MEAC,,,,,,,,,,,
Caitlin Weimar,,,,,Virginia,ACC,NC State,ACC,1077.66,559.0,58.0,320.0,37.0,85.0,18.63333,1.93333,10.66667,1.23333,2.83333
Laci Steele,24.0,71.0,G,Sophomore,Wisconsin,Big Ten,NC State,ACC,157.77,39.0,4.0,20.0,7.0,0.0,1.69565,0.17391,0.86957,0.30435,0.0
Lexi Carlsen,,,,,Drake,MVC,NIU,MAC,,,,,,,,,,,
Lizzy Williamson,15.0,77.0,F,Senior,Oregon St.,WCC,NC State,ACC,34.02,8.0,0.0,10.0,1.0,0.0,1.6,0.0,2.0,0.2,0.0
Maddy Fay,,,,,Southern Ind.,OVC,NIU,MAC,,,,,,,,,,,
Brooke Blumenfeld,41.0,72.0,F,Junior,Miami (OH),MAC,NIU,MAC,589.61,256.0,14.0,72.0,13.0,14.0,9.14286,0.5,2.57143,0.46429,0.5
Shannon Blacher,,,,,Southern Ind.,OVC,NIU,MAC,,,,,,,,,,,
Kyah Smith,2.0,69.0,G,Sophomore,William & Mary,CAA,Navy,Patriot,654.6,203.0,42.0,62.0,14.0,4.0,6.76667,1.4,2.06667,0.46667,0.13333
Violet McNece,33.0,72.0,F,Freshman,Morehead St.,OVC,Navy,Patriot,276.77,55.0,9.0,30.0,9.0,2.0,2.3913,0.3913,1.30435,0.3913,0.08696
Kaylee Borden,5.0,66.0,G,Senior,Utah Tech,WAC,Nevada,MWC,,,,,,,,,,,
Kennedy Lee,,,,,San Diego St.,MWC,Nevada,MWC,,,,,,,,,,,
Dymonique Maxie,10.0,68.0,G,Sophomore,UC San Diego,Big West,Nevada,MWC,866.59,200.0,63.0,86.0,51.0,9.0,7.14286,2.25,3.07143,1.82143,0.32143
Sharmela Reid,14.0,73.0,F,Sophomore,Jacksonville,ASUN,New Hampshire,AmEast,190.76,33.0,4.0,42.0,6.0,5.0,1.22222,0.14815,1.55556,0.22222,0.18519
Avery O'Connor,,,,,West Florida,Gulf South,New Hampshire,AmEast,,,,,,,,,,,
Lilli Hakkarainen,45.0,69.0,G,Freshman,UT Tyler,Lone Star,New Mexico,MWC,12.15,3.0,0.0,3.0,1.0,0.0,0.75,0.0,0.75,0.25,0.0
Reza Po,21.0,62.0,G,Freshman,East Texas A&M,Southland,New Mexico,MWC,161.91,46.0,17.0,22.0,4.0,2.0,2.70588,1.0,1.29412,0.23529,0.11765
Paris Lauro,10.0,72.0,F,Sophomore,Weber St.,Big Sky,New Mexico,MWC,211.75,68.0,6.0,35.0,2.0,7.0,2.42857,0.21429,1.25,0.07143,0.25
Noah Garcia,27.0,75.0,F,Senior,Lindenwood,OVC,New Mexico St.,CUSA,55.52,8.0,2.0,8.0,1.0,0.0,0.8,0.2,0.8,0.1,0.0
Lara Langermann,5.0,67.0,G,Sophomore,UAlbany,AmEast,New Mexico,MWC,465.36,82.0,23.0,41.0,15.0,2.0,3.03704,0.85185,1.51852,0.55556,0.07407
Jaila Harding,4.0,68.0,G,Senior,Wichita St.,American,New Mexico St.,CUSA,794.25,250.0,27.0,42.0,17.0,0.0,8.06452,0.87097,1.35484,0.54839,0.0
Lydie Mwamba,1.0,71.0,G,Junior,Liberty,CUSA,New Mexico,MWC,78.53,29.0,5.0,18.0,4.0,3.0,2.63636,0.45455,1.63636,0.36364,0.27273
Alexis Calderon,5.0,64.0,G,Senior,Northwestern St.,Southland,New Orleans,Southland,853.05,216.0,111.0,93.0,56.0,3.0,7.44828,3.82759,3.2069,1.93103,0.10345
Madi Gewirtz,11.0,71.0,G,Freshman,Fla. Atlantic,American,New Mexico St.,CUSA,375.08,89.0,16.0,53.0,22.0,13.0,3.17857,0.57143,1.89286,0.78571,0.46429
Emma Dasovich,25.0,72.0,F,Freshman,Northern Ariz.,Big Sky,New Mexico St.,CUSA,79.24,21.0,6.0,6.0,1.0,1.0,1.75,0.5,0.5,0.08333,0.08333
Tre'Miyah Berry,,,,,Alabama A&M,SWAC,New Orleans,Southland,,,,,,,,,,,
Nora Francois,0.0,74.0,F,Senior,Arizona,Big 12,New Orleans,Southland,730.06,359.0,37.0,197.0,43.0,30.0,14.95833,1.54167,8.20833,1.79167,1.25
Amelia Strong,,,,,UIC,MVC,Niagara,MAAC,,,,,,,,,,,
Betzalys Delgado,7.0,67.0,G,Sophomore,Flagler,Peach Belt,Nicholls,Southland,68.91,8.0,5.0,10.0,5.0,0.0,0.57143,0.35714,0.71429,0.35714,0.0
Elli Garnett,20.0,72.0,F,Senior,Ohio,MAC,Nicholls,Southland,848.7,250.0,42.0,183.0,36.0,4.0,8.33333,1.4,6.1,1.2,0.13333
Marlie Dickerson,20.0,70.0,G,Junior,Arkansas St.,Sun Belt,Niagara,MAAC,517.53,186.0,44.0,69.0,34.0,10.0,9.78947,2.31579,3.63158,1.78947,0.52632
Britiya Curtis,11.0,67.0,G,Sophomore,UAB,American,Nicholls,Southland,878.39,327.0,38.0,88.0,44.0,3.0,10.9,1.26667,2.93333,1.46667,0.1
Kierra Wheeler,,,,,West Virginia,Big 12,Norfolk St.,MEAC,,,,,,,,,,,
Stephanie Mosley,,,,,Louisiana,Sun Belt,Norfolk St.,MEAC,,,,,,,,,,,
LaKeeyah Barnes,,,,,Anderson (SC),SAC,Niagara,MAAC,,,,,,,,,,,
Chrishunti Walker,30.0,74.0,F,Freshman,Alcorn,SWAC,North Ala.,ASUN,126.09,39.0,6.0,30.0,0.0,2.0,2.6,0.4,2.0,0.0,0.13333
Veronaye Charlton,11.0,64.0,G,Sophomore,Austin Peay,ASUN,North Ala.,ASUN,109.88,32.0,7.0,11.0,1.0,0.0,2.0,0.4375,0.6875,0.0625,0.0
Rhema Pegues,21.0,68.0,G,Junior,Jackson St.,SWAC,North Ala.,ASUN,127.23,58.0,3.0,20.0,3.0,0.0,3.86667,0.2,1.33333,0.2,0.0
Sarang West,,,,,Southern Ind.,OVC,North Ala.,ASUN,,,,,,,,,,,
Trayanna Crisp,14.0,68.0,G,Junior,Mississippi St.,SEC,North Carolina,ACC,388.56,157.0,32.0,41.0,15.0,2.0,5.60714,1.14286,1.46429,0.53571,0.07143
Jocelyn Schiller,30.0,67.0,G,Freshman,North Dakota St.,Summit,North Dakota,Summit,996.25,371.0,82.0,110.0,35.0,1.0,13.25,2.92857,3.92857,1.25,0.03571
Safi Kolliegbo,4.0,69.0,F,Sophomore,Delaware,CAA,Niagara,MAAC,888.37,381.0,68.0,96.0,70.0,6.0,14.11111,2.51852,3.55556,2.59259,0.22222
Nakiyah Hurst,5.0,71.0,G,Junior,Omaha,Summit,North Dakota,Summit,145.85,40.0,2.0,39.0,4.0,1.0,2.10526,0.10526,2.05263,0.21053,0.05263
Fatima Ibrahim,,,,,Dayton,A10,North Dakota,Summit,,,,,,,,,,,
Jasmine Jones,10.0,71.0,F,Junior,West Ga.,ASUN,New Orleans,Southland,545.6,175.0,18.0,58.0,11.0,7.0,8.75,0.9,2.9,0.55,0.35
Taryn Hamling,12.0,69.0,G,Freshman,Minot St.,NSIC,North Dakota St.,Summit,186.53,48.0,8.0,7.0,7.0,0.0,1.71429,0.28571,0.25,0.25,0.0
Rakiyah Beal,,,,,Omaha,Summit,North Dakota,Summit,,,,,,,,,,,
Nevaeh Ferrara Horne,7.0,74.0,F,Sophomore,San Francisco,WCC,North Dakota,Summit,727.15,165.0,30.0,52.0,22.0,12.0,5.89286,1.07143,1.85714,0.78571,0.42857
Kiera Pemberton,,,,,Baylor,Big 12,North Dakota,Summit,,,,,,,,,,,
Jayla Owen,44.0,66.0,G,Junior,New Orleans,Southland,North Dakota,Summit,379.46,92.0,25.0,34.0,11.0,0.0,3.40741,0.92593,1.25926,0.40741,0.0
Nia Brown,,,,,Edward Waters,SIAC,North Florida,ASUN,,,,,,,,,,,
Jazmine Spencer,2.0,66.0,G,Senior,Norfolk St.,MEAC,North Florida,ASUN,724.42,307.0,37.0,58.0,36.0,2.0,10.96429,1.32143,2.07143,1.28571,0.07143
Sydney Pettis,20.0,74.0,F,Sophomore,A&M-Corpus Christi,Southland,North Florida,ASUN,181.52,34.0,1.0,31.0,2.0,6.0,1.47826,0.04348,1.34783,0.08696,0.26087
Anja Ekstrom,3.0,66.0,G,Sophomore,Morehead St.,OVC,North Florida,ASUN,67.62,8.0,2.0,5.0,0.0,0.0,0.61538,0.15385,0.38462,0.0,0.0
Lauren Bell,,,,,UNC Pembroke,Conference Carolinas,North Florida,ASUN,,,,,,,,,,,
Jasmynne Gibson,,,,,UCF,Big 12,North Florida,ASUN,,,,,,,,,,,
Maddie Millar,10.0,69.0,G,Sophomore,North Georgia,Peach Belt,North Florida,ASUN,43.81,15.0,2.0,1.0,0.0,0.0,2.5,0.33333,0.16667,0.0,0.0
Shadasia Brackens,,,,,Tarleton St.,WAC,North Texas,American,,,,,,,,,,,
Desiree Wooten,3.0,68.0,G,Sophomore,Colorado,Big 12,North Texas,American,969.5,379.0,85.0,116.0,58.0,10.0,11.48485,2.57576,3.51515,1.75758,0.30303
Kyla Deck,,,,,SMU,ACC,North Texas,American,,,,,,,,,,,
Jahcelyn Hartfield,,,,,Coppin St.,MEAC,North Texas,American,,,,,,,,,,,
Gia Adams,,,,,Tarleton St.,WAC,North Texas,American,,,,,,,,,,,
Reilly Clark,24.0,70.0,G,Freshman,Santa Clara,WCC,Northern Ariz.,Big Sky,28.27,5.0,0.0,6.0,1.0,0.0,0.38462,0.0,0.46154,0.07692,0.0
Sophie Glancey,12.0,74.0,F,Junior,Santa Clara,WCC,Northern Ariz.,Big Sky,1015.01,623.0,39.0,326.0,31.0,61.0,18.32353,1.14706,9.58824,0.91176,1.79412
Shamaryah Duncan,20.0,71.0,G,Senior,Tulsa,American,North Texas,American,801.36,183.0,42.0,92.0,24.0,3.0,5.90323,1.35484,2.96774,0.77419,0.09677
Allie Cummins,1.0,69.0,F,Sophomore,San Jose St.,MWC,Northern Ariz.,Big Sky,327.37,93.0,19.0,35.0,7.0,1.0,2.90625,0.59375,1.09375,0.21875,0.03125
Gwendlyn McGrew,14.0,70.0,G,Freshman,UIW,Southland,North Texas,American,66.52,15.0,7.0,12.0,2.0,0.0,0.83333,0.38889,0.66667,0.11111,0.0
Ava Schmidt,,,,,Santa Clara,WCC,Northern Ariz.,Big Sky,,,,,,,,,,,
Abby Jegede,2.0,70.0,G,Sophomore,Tulsa,American,Northeastern,CAA,866.49,394.0,37.0,109.0,25.0,3.0,15.76,1.48,4.36,1.0,0.12
Taylor Feldman,,,,,Purdue,Big Ten,Northern Ariz.,Big Sky,,,,,,,,,,,
Saniyah Neverson,,,,,Hawaii,Big West,Northern Ariz.,Big Sky,,,,,,,,,,,
Ella Van Weelden,25.0,74.0,F,Junior,Cleveland St.,Horizon,Northern Colo.,Big Sky,559.55,153.0,17.0,67.0,22.0,9.0,5.88462,0.65385,2.57692,0.84615,0.34615
Allison Basye,1.0,71.0,G,Sophomore,Detroit Mercy,Horizon,Northern Ky.,Horizon,297.55,94.0,4.0,36.0,4.0,2.0,4.08696,0.17391,1.56522,0.17391,0.08696
Sydney Martin,,,,,Samford,SoCon,Northern Ky.,Horizon,,,,,,,,,,,
Madison French,24.0,71.0,G,Sophomore,Findlay,G-MAC,Northern Ky.,Horizon,104.5,21.0,2.0,6.0,2.0,0.0,1.5,0.14286,0.42857,0.14286,0.0
Mel Daley,21.0,71.0,G,Senior,Virginia Tech,ACC,Northwestern,Big Ten,715.18,317.0,72.0,89.0,29.0,7.0,11.74074,2.66667,3.2963,1.07407,0.25926
Kailee Davis,3.0,62.0,G,Junior,Detroit Mercy,Horizon,Northern Ky.,Horizon,706.9,244.0,69.0,64.0,13.0,1.0,10.16667,2.875,2.66667,0.54167,0.04167
Ereauna Hardaway,,,,,UTSA,American,North Texas,American,,,,,,,,,,,
Oralye Kiefer,11.0,75.0,F,Junior,Merrimack,MAAC,Northeastern,CAA,68.93,12.0,0.0,10.0,1.0,3.0,2.4,0.0,2.0,0.2,0.6
Hailey Weaver,11.0,72.0,G,Junior,Nebraska,Big Ten,Northwestern,Big Ten,571.2,221.0,38.0,86.0,29.0,16.0,7.89286,1.35714,3.07143,1.03571,0.57143
Laia Oliva,4.0,67.0,G,Freshman,Young Harris,Conference Carolinas,Northwestern St.,Southland,87.66,10.0,11.0,13.0,2.0,1.0,0.52632,0.57895,0.68421,0.10526,0.05263
Kate Koval,,,,,LSU,SEC,Notre Dame,ACC,,,,,,,,,,,
Maya Mitchell,,,,,Davenport,GLIAC,Oakland,Horizon,,,,,,,,,,,
Leah Bullard,23.0,73.0,F,Freshman,Massachusetts,A10,Oakland,Horizon,164.71,44.0,7.0,28.0,8.0,2.0,2.09524,0.33333,1.33333,0.38095,0.09524
"Naveyah Naz"" Damon""",0.0,72.0,G,Sophomore,Charleston So.,Big South,Oakland,Horizon,6.27,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Madison Royal-Davis,21.0,71.0,G,Senior,Cleveland St.,Horizon,Oakland,Horizon,785.25,129.0,36.0,194.0,64.0,35.0,4.3,1.2,6.46667,2.13333,1.16667
Miriam Ibezim,,,,,SMU,ACC,Oakland,Horizon,,,,,,,,,,,
Kylee Watson,,,,,Villanova,Big East,Notre Dame,ACC,,,,,,,,,,,
Maddy Skorupski,,,,,Green Bay,Horizon,Oakland,Horizon,,,,,,,,,,,
Kylie Buckley,5.0,72.0,F,Sophomore,St. Bonaventure,A10,Oakland,Horizon,412.78,124.0,13.0,83.0,18.0,11.0,4.27586,0.44828,2.86207,0.62069,0.37931
Jermesha Frierson,1.0,67.0,G,Sophomore,Delaware St.,MEAC,Northwestern St.,Southland,87.51,23.0,6.0,14.0,2.0,0.0,1.27778,0.33333,0.77778,0.11111,0.0
Olivia Miles,5.0,70.0,G,Senior,TCU,Big 12,Notre Dame,ACC,1120.92,522.0,197.0,192.0,47.0,8.0,15.35294,5.79412,5.64706,1.38235,0.23529
Madilyn Rendall,,,,,West Florida,Gulf South,Oakland,Horizon,,,,,,,,,,,
Cotie McMahon,,,,,Ole Miss,SEC,Ohio St.,Big Ten,,,,,,,,,,,
Faith Carson,54.0,76.0,F,Freshman,Grand Canyon,WAC,Ohio St.,Big Ten,12.24,4.0,3.0,8.0,0.0,0.0,0.57143,0.42857,1.14286,0.0,0.0
Reyna Scott,2.0,70.0,G,Junior,Louisville,ACC,Oklahoma,SEC,483.86,169.0,78.0,64.0,29.0,3.0,4.82857,2.22857,1.82857,0.82857,0.08571
Landry Allen,25.0,75.0,F,Sophomore,Southwestern Okla.,GAC,Oklahoma,SEC,100.8,38.0,7.0,19.0,6.0,9.0,1.80952,0.33333,0.90476,0.28571,0.42857
Kiersten Johnson,,,,,Baylor,Big 12,Oklahoma,SEC,,,,,,,,,,,
Emma Risch,,,,,Florida St.,ACC,Notre Dame,ACC,,,,,,,,,,,
Jaya McClure,0.0,66.0,G,Sophomore,UIC,MVC,Ohio,MAC,660.68,278.0,75.0,56.0,35.0,1.0,12.63636,3.40909,2.54545,1.59091,0.04545
Maria Anais Rodriguez,7.0,73.0,F,Freshman,Arkansas,SEC,Oklahoma St.,Big 12,36.77,14.0,1.0,10.0,4.0,1.0,1.4,0.1,1.0,0.4,0.1
Jadyn Atchison,,,,,UT Arlington,WAC,Old Dominion,Sun Belt,,,,,,,,,,,
Marie Kenembeni,14.0,74.0,F,Junior,Nicholls,Southland,Old Dominion,Sun Belt,53.04,16.0,1.0,12.0,1.0,2.0,1.14286,0.07143,0.85714,0.07143,0.14286
Brenna Butler,15.0,66.0,G,Sophomore,Okla. Baptist,GAC,Oklahoma St.,Big 12,21.05,4.0,3.0,2.0,1.0,0.0,0.44444,0.33333,0.22222,0.11111,0.0
Mikayla Brown,24.0,75.0,F,Junior,Jackson St.,SWAC,Old Dominion,Sun Belt,317.43,67.0,6.0,89.0,4.0,1.0,2.39286,0.21429,3.17857,0.14286,0.03571
Mariyah Noel,,,,,Xavier,Big East,Ole Miss,SEC,,,,,,,,,,,
Rhema Collins,35.0,74.0,F,Sophomore,FIU,CUSA,Ole Miss,SEC,84.36,41.0,4.0,29.0,8.0,7.0,2.92857,0.28571,2.07143,0.57143,0.5
Kharyssa Richardson,33.0,74.0,F,Junior,Mississippi St.,SEC,Ole Miss,SEC,288.76,106.0,11.0,44.0,5.0,9.0,3.65517,0.37931,1.51724,0.17241,0.31034
Ayanna Thompson,,,,,SMU,ACC,Ole Miss,SEC,,,,,,,,,,,
Fatu Djaló,11.0,70.0,G,Freshman,Monmouth,CAA,Ole Miss,SEC,93.89,6.0,4.0,5.0,6.0,0.0,0.375,0.25,0.3125,0.375,0.0
Jite Gbemuotor,,,,,CSUN,Big West,Ole Miss,SEC,,,,,,,,,,,
Harriet Ford,0.0,75.0,F,Freshman,Duquesne,A10,Omaha,Summit,456.89,177.0,17.0,180.0,6.0,6.0,7.375,0.70833,7.5,0.25,0.25
Heloisa Carrera,14.0,74.0,F,Freshman,Arizona St.,Big 12,Ole Miss,SEC,63.48,22.0,6.0,14.0,3.0,1.0,1.69231,0.46154,1.07692,0.23077,0.07692
Kennedy Evans,21.0,70.0,G,Freshman,Louisiana Tech,CUSA,Oklahoma St.,Big 12,20.26,2.0,1.0,0.0,0.0,0.0,0.22222,0.11111,0.0,0.0,0.0
Alana Powell,,,,,Mount St. Mary's,MAAC,Omaha,Summit,,,,,,,,,,,
Emily Robinson,23.0,70.0,F,Sophomore,Arkansas,SEC,Oral Roberts,Summit,951.3,306.0,100.0,107.0,42.0,6.0,10.2,3.33333,3.56667,1.4,0.2
Mary Carden,,,,,Cincinnati,Big 12,Oral Roberts,Summit,,,,,,,,,,,
Jamie Kent,22.0,72.0,F,Sophomore,New Hampshire,AmEast,Pacific,WCC,267.86,68.0,11.0,80.0,9.0,4.0,3.2381,0.52381,3.80952,0.42857,0.19048
Lauren Glazier,25.0,76.0,F,Junior,Washington St.,WCC,Pacific,WCC,441.67,146.0,15.0,66.0,15.0,26.0,5.03448,0.51724,2.27586,0.51724,0.89655
Ariana Williams,11.0,74.0,F,Freshman,IU Indy,Horizon,Penn St.,Big Ten,33.08,6.0,2.0,10.0,1.0,2.0,0.85714,0.28571,1.42857,0.14286,0.28571
Grace Hall,,,,,SMU,ACC,Penn St.,Big Ten,,,,,,,,,,,
Alayna Kraus,,,,,Southern Ill.,MVC,Oral Roberts,Summit,,,,,,,,,,,
Cam Rust,1.0,73.0,F,Freshman,Seton Hall,Big East,Penn St.,Big Ten,94.48,34.0,4.0,21.0,1.0,0.0,1.78947,0.21053,1.10526,0.05263,0.0
Alli Campbell,22.0,72.0,G,Senior,Fairfield,MAAC,Penn St.,Big Ten,793.89,211.0,114.0,106.0,36.0,12.0,8.11538,4.38462,4.07692,1.38462,0.46154
Talayah Walker,20.0,70.0,G,Freshman,Georgia Tech,ACC,Penn St.,Big Ten,447.96,162.0,24.0,96.0,25.0,8.0,5.58621,0.82759,3.31034,0.86207,0.27586
Ja Harvey,50.0,66.0,G,Senior,Seattle U,WAC,Omaha,Summit,724.64,358.0,61.0,79.0,47.0,7.0,14.91667,2.54167,3.29167,1.95833,0.29167
Tyla Heard,,,,,Oklahoma St.,Big 12,Oral Roberts,Summit,,,,,,,,,,,
Jill Jekot,24.0,71.0,G,Freshman,Saint Joseph's,A10,Penn St.,Big Ten,124.49,18.0,5.0,17.0,5.0,1.0,0.85714,0.2381,0.80952,0.2381,0.04762
Gabby Elliott,0.0,70.0,G,Junior,Arizona St.,Big 12,Penn St.,Big Ten,845.18,395.0,52.0,132.0,37.0,3.0,13.62069,1.7931,4.55172,1.27586,0.10345
Chloe Sotell,,,,,Missouri,SEC,Pepperdine,WCC,,,,,,,,,,,
Taleyah Jones,10.0,70.0,G,Junior,Arkansas,SEC,Oral Roberts,Summit,1043.09,556.0,45.0,115.0,34.0,5.0,18.53333,1.5,3.83333,1.13333,0.16667
Kyrah Brodie,33.0,75.0,F,Sophomore,Belmont,MVC,Pepperdine,WCC,283.53,37.0,5.0,49.0,10.0,23.0,1.54167,0.20833,2.04167,0.41667,0.95833
Ella Brubaker,3.0,72.0,G,Senior,Seattle U,WAC,Pepperdine,WCC,559.3,256.0,23.0,83.0,29.0,9.0,8.82759,0.7931,2.86207,1.0,0.31034
Kiara Williams,,,,,La Salle,A10,Pittsburgh,ACC,,,,,,,,,,,
Aislin Malcolm,20.0,71.0,G,Junior,Robert Morris,Horizon,Pittsburgh,ACC,384.46,96.0,15.0,44.0,9.0,0.0,4.57143,0.71429,2.09524,0.42857,0.0
Lauren Perry,2.0,67.0,G,Junior,Texas Southern,SWAC,Omaha,Summit,234.31,75.0,14.0,25.0,7.0,0.0,3.57143,0.66667,1.19048,0.33333,0.0
Hailey Johnson,1.0,71.0,G,Junior,Duke,ACC,Pepperdine,WCC,40.5,7.0,4.0,4.0,0.0,1.0,0.58333,0.33333,0.33333,0.0,0.08333
Aaryn Battle,1.0,70.0,G,Sophomore,Hampton,CAA,Pittsburgh,ACC,533.54,107.0,52.0,79.0,21.0,3.0,3.34375,1.625,2.46875,0.65625,0.09375
Amauri Williams,,,,,Memphis,American,Prairie View,SWAC,,,,,,,,,,,
Marley Washenitz,11.0,67.0,G,Junior,Arizona St.,Big 12,Pittsburgh,ACC,919.51,298.0,85.0,75.0,75.0,5.0,9.3125,2.65625,2.34375,2.34375,0.15625
Natalie Herrin,1.0,68.0,G,Junior,Flagler,Peach Belt,Presbyterian,Big South,179.23,37.0,7.0,24.0,2.0,0.0,2.3125,0.4375,1.5,0.125,0.0
Teresa Mbemba,4.0,71.0,F,Junior,NIU,MAC,Presbyterian,Big South,139.52,53.0,0.0,31.0,4.0,1.0,4.81818,0.0,2.81818,0.36364,0.09091
Kishyah Anderson,24.0,70.0,G,Junior,Ga. Southern,Sun Belt,Presbyterian,Big South,845.24,431.0,32.0,136.0,45.0,19.0,15.39286,1.14286,4.85714,1.60714,0.67857
Laney Scoggins,23.0,71.0,F,Sophomore,Ga. Southern,Sun Belt,Presbyterian,Big South,593.69,88.0,18.0,127.0,14.0,3.0,3.38462,0.69231,4.88462,0.53846,0.11538
Tabitha Amanze,3.0,76.0,F,Junior,Virginia,ACC,Princeton,Ivy League,347.0,167.0,22.0,111.0,20.0,22.0,5.96429,0.78571,3.96429,0.71429,0.78571
Dennaye Hinds,0.0,73.0,F,Sophomore,Flagler,Peach Belt,Presbyterian,Big South,266.93,44.0,13.0,42.0,5.0,1.0,1.375,0.40625,1.3125,0.15625,0.03125
Ugne Sirtautaite,10.0,73.0,F,Sophomore,Fordham,A10,Providence,Big East,71.53,21.0,5.0,15.0,2.0,0.0,1.16667,0.27778,0.83333,0.11111,0.0
Sophie Swanson,31.0,70.0,G,Sophomore,Virginia Tech,ACC,Purdue,Big Ten,542.75,248.0,43.0,48.0,24.0,10.0,8.85714,1.53571,1.71429,0.85714,0.35714
Amiyah Reynolds,1.0,72.0,G,Freshman,UT Arlington,WAC,Purdue,Big Ten,319.78,43.0,30.0,50.0,11.0,9.0,1.86957,1.30435,2.17391,0.47826,0.3913
