fullName,jerseyNum,height,position,classYr,teamMarketTo,conferenceShortNameTo,teamMarketFrom,conferenceShortNameFrom,mins,ptsScored,ast,reb,stl,blk,ptsScoredPg,astPg,rebPg,stlPg,blkPg
Chloe Dallas,20.0,75.0,F,Junior,Eastern N.M.,Lone Star,Kansas City,Summit,97.27,25.0,2.0,22.0,5.0,1.0,2.5,0.2,2.2,0.5,0.1
Imani Lester,32.0,76.0,F,Sophomore,Rutgers,Big Ten,Kansas St.,Big 12,367.19,82.0,21.0,93.0,18.0,19.0,2.41176,0.61765,2.73529,0.52941,0.55882
Sophia Rueppell,,,,,Wofford,SoCon,Kennesaw St.,CUSA,,,,,,,,,,,
Finley Ohnstad,33.0,73.0,G,Freshman,North Dakota,Summit,Kansas St.,Big 12,,,,,,,,,,,
Zyanna Walker,1.0,71.0,G,Sophomore,Colorado,Big 12,Kansas St.,Big 12,946.8,294.0,122.0,138.0,58.0,25.0,8.16667,3.38889,3.83333,1.61111,0.69444
Claire Davis,11.0,73.0,F,Junior,North Florida,ASUN,Kennesaw St.,CUSA,42.49,16.0,1.0,8.0,1.0,3.0,1.06667,0.06667,0.53333,0.06667,0.2
Gisela Sanchez,30.0,76.0,F,Junior,Notre Dame,ACC,Kansas St.,Big 12,416.99,113.0,34.0,83.0,7.0,9.0,4.18519,1.25926,3.07407,0.25926,0.33333
Tanah Becker,8.0,73.0,G,Freshman,George Washington,A10,Kentucky,SEC,16.67,7.0,0.0,1.0,2.0,0.0,1.75,0.0,0.25,0.5,0.0
Saniah Tyler,2.0,66.0,G,Junior,Missouri,SEC,Kentucky,SEC,320.96,59.0,10.0,30.0,9.0,0.0,2.26923,0.38462,1.15385,0.34615,0.0
Gisela Segura,24.0,71.0,F,Senior,Illinois,Big Ten,LIU,NEC,601.92,112.0,28.0,67.0,23.0,11.0,5.09091,1.27273,3.04545,1.04545,0.5
Shanaii Gamble,,,,,Coppin St.,MEAC,LIU,NEC,,,,,,,,,,,
Clara Silva,17.0,79.0,F,Freshman,TCU,Big 12,Kentucky,SEC,386.4,124.0,18.0,81.0,6.0,33.0,4.0,0.58065,2.6129,0.19355,1.06452
Freddie Wallace,,,,,Arizona,Big 12,Kansas,Big 12,,,,,,,,,,,
Brylee Glenn,5.0,71.0,G,Senior,Minnesota,Big Ten,Kansas St.,Big 12,,,,,,,,,,,
Madison Watts,3.0,70.0,G,Freshman,Northern Ariz.,Big Sky,LMU (CA),WCC,94.51,13.0,2.0,22.0,2.0,0.0,0.8125,0.125,1.375,0.125,0.0
Amelie Sitterud,10.0,72.0,F,Sophomore,San Jose St.,MWC,LMU (CA),WCC,337.73,46.0,6.0,48.0,11.0,8.0,1.7037,0.22222,1.77778,0.40741,0.2963
Sirviva Legions,2.0,68.0,G,Junior,UTEP,CUSA,LIU,NEC,1068.58,431.0,69.0,130.0,41.0,2.0,14.36667,2.3,4.33333,1.36667,0.06667
Candela Garcia-Escribano,32.0,71.0,G,Freshman,Stetson,ASUN,LIU,NEC,325.64,50.0,14.0,34.0,13.0,1.0,1.72414,0.48276,1.17241,0.44828,0.03448
Amani Bartlett,2.0,75.0,F,Senior,Houston,Big 12,LSU,SEC,85.86,11.0,0.0,20.0,1.0,0.0,0.64706,0.0,1.17647,0.05882,0.0
Jersey Wolfenbarger,8.0,77.0,G,Sophomore,Tennessee,SEC,LSU,SEC,488.05,171.0,7.0,124.0,23.0,24.0,4.62162,0.18919,3.35135,0.62162,0.64865
Sa'Myah Smith,5.0,74.0,F,Junior,Virginia,ACC,LSU,SEC,797.22,236.0,26.0,232.0,34.0,51.0,6.55556,0.72222,6.44444,0.94444,1.41667
Mjracle Sheppard,1.0,70.0,G,Sophomore,California,ACC,LSU,SEC,376.44,118.0,21.0,70.0,32.0,2.0,3.93333,0.7,2.33333,1.06667,0.06667
Aalyah Del Rosario,,,,,Vanderbilt,SEC,LSU,SEC,,,,,,,,,,,
Last-Tear Poa,13.0,71.0,G,Senior,Arizona St.,Big 12,LSU,SEC,385.13,59.0,56.0,29.0,7.0,3.0,1.96667,1.86667,0.96667,0.23333,0.1
Ayisse Magassa,12.0,73.0,G,Junior,Cleveland St.,Horizon,La Salle,A10,904.8,216.0,32.0,147.0,41.0,11.0,6.75,1.0,4.59375,1.28125,0.34375
Ivy Fox,11.0,72.0,F,Junior,Adams St.,RMAC,La Salle,A10,226.02,77.0,7.0,23.0,3.0,1.0,3.5,0.31818,1.04545,0.13636,0.04545
Asia Boone,12.0,68.0,G,Sophomore,Kentucky,SEC,Liberty,CUSA,761.06,319.0,45.0,91.0,28.0,3.0,10.29032,1.45161,2.93548,0.90323,0.09677
Pien Steenbergen,7.0,73.0,F,Sophomore,Texas A&M,SEC,Liberty,CUSA,450.85,152.0,25.0,86.0,14.0,15.0,4.90323,0.80645,2.77419,0.45161,0.48387
Emily Howard,14.0,77.0,F,Junior,Boise St.,MWC,Liberty,CUSA,79.11,35.0,2.0,20.0,1.0,4.0,5.83333,0.33333,3.33333,0.16667,0.66667
Justis Odom,,,,,DePaul,Big East,Lindenwood,OVC,,,,,,,,,,,
Stevi Lockhart,1.0,71.0,G,Freshman,Angelo St.,Lone Star,Lindenwood,OVC,157.43,31.0,5.0,16.0,3.0,0.0,1.9375,0.3125,1.0,0.1875,0.0
Ainhoa Cea,14.0,66.0,G,Junior,Eastern Mich.,MAC,Lipscomb,ASUN,886.71,243.0,139.0,141.0,48.0,1.0,8.1,4.63333,4.7,1.6,0.03333
Kiara Smith,0.0,68.0,G,Freshman,Southwestern Okla.,GAC,Lindenwood,OVC,44.1,6.0,4.0,2.0,2.0,1.0,1.0,0.66667,0.33333,0.33333,0.16667
Emerald Parker,25.0,75.0,F,Sophomore,Texas A&M,SEC,Little Rock,OVC,723.31,219.0,7.0,182.0,10.0,23.0,7.55172,0.24138,6.27586,0.34483,0.7931
Isabella Pitta,,,,,Roosevelt,GLIAC,Lipscomb,ASUN,,,,,,,,,,,
